headline,news_link
Cyclone Fani Live Updates: Over 103 trains cancelled due to impending storm,/india/story/cyclone-fani-live-updates-storm-news-tamil-nadu-coast-odisha-1514981-2019-05-02
"Thai king surprises all, marries bodyguard before coronation",/world/story/thailand-king-weds-guard-force-chief-before-coronation-1514982-2019-05-02
BJP held many rallies but Congress ignored Jammu and Kashmir: Omar Abdullah,/elections/lok-sabha-2019/story/bjp-held-rallies-congress-ignored-jammu-kashmir-omar-abdullah-1515029-2019-05-02
"Cyclone Fani: 8 lakh people being evacuated in Odisha, special trains announced",/india/story/cyclone-fani-updates-odisha-evacuate-8-lakh-people-trains-cancelled-1514964-2019-05-02
Priyanka Chopra and Nick Jonas steal a kiss during Billboard Music Awards 2019. Watch viral video,/movies/celebrities/story/priyanka-chopra-and-nick-jonas-steal-a-kiss-during-billboard-music-awards-2019-watch-viral-video-1515055-2019-05-02
UN lists JeM chief Masood Azhar as global terrorist: What happens next? ,/india/story/un-lists-jem-chief-masood-azhar-as-global-terrorist-what-happens-next-1514902-2019-05-02
Alia Bhatt to expose fake godman with Sanjay Dutt in Sadak 2,/movies/bollywood/story/alia-bhatt-to-expose-fake-godman-with-sanjay-dutt-in-sadak-2-1515042-2019-05-02
Unseasonal rains damage Hyderabads iconic Charminar,/india/story/charminar-hyderabad-rain-damage-1515011-2019-05-02
MS Dhoni pays tribute to CSK fans: Thala is a big nickname they have given me,/sports/story/csk-vs-dc-ipl-2019-thala-ms-dhoni-chennai-super-kings-fans-chepauk-1514957-2019-05-02
"India Today joins One Free Press Coalition, vows to protect journalists",/india/story/one-free-press-coalition-india-today-group-1514735-2019-05-01
"Daily tracker: How drugs, cash, gold & booze are keeping netas busy in Lok Sabha polls",/elections/lok-sabha-2019/story/campaign-cash-drugs-alcohol-gold-seizures-election-commission-updates-1501954-2019-04-16
 A smartphone that makes you feel like a superhero,/impact-feature/story/-a-smartphone-that-makes-you-feel-like-a-superhero-1510064-2019-04-25
Why renovation need not be as scary as you think,/impact-feature/story/why-renovation-need-not-be-as-scary-as-you-think-1510927-2019-04-26
Lok Sabha Election 2019: Your one-stop poll guide is here,/elections/lok-sabha-2019/story/lok-sabha-election-2019-dates-full-schedule-constituency-wise-details-all-you-need-to-know-1476069-2019-03-12
